word,types
-,"['owner', 'address', 'note']"
.,"['owner', 'address', 'note']"
rt,['address']
rw,['address']
lilik,['owner']
didik,['owner']
wiwik,['owner']
wawan,['owner']
ana,['owner']
nanang,['owner']
ririn,['owner']
luluk,['owner']
titin,['owner']
titik,['owner']
yuyun,['owner']
wiwin,['owner']
lilis,['owner']
totok,['owner']
ninik,['owner']
iin,['owner']
kiki,['owner']
aan,['owner']
anang,['owner']
bibit,['owner']
yoyok,['owner']
iis,['owner']
pipit,['owner']
puput,['owner']
wiwit,['owner']
nining,['owner']
vivi,['owner']
dadang,['owner']
nana,['owner']
yayan,['owner']
nunuk,['owner']
nunung,['owner']
didin,['owner']
koko,['owner']
mamat,['owner']
mimin,['owner']
titis,['owner']
riris,['owner']
cicik,['owner']
didit,['owner']
lala,['owner']
pipin,['owner']
nono,['owner']
tutut,['owner']
fifi,['owner']
vivin,['owner']
yoyon,['owner']
wiwid,['owner']
uut,['owner']
fifin,['owner']
maman,['owner']
kukuh,['owner']
neneng,['owner']
rara,['owner']
yayak,['owner']
nini,['owner']
ama,['owner']
yaya,['owner']
uus,['owner']
yeyen,['owner']
ninis,['owner']
mama,['owner']
didi,['owner']
iim,['owner']
tata,['owner']
lili,['owner']
mamad,['owner']
uul,['owner']
caca,['owner']
sasa,['owner']
tatang,['owner']
toto,['owner']
titi,['owner']
tutuk,['owner']
uun,['owner']
wawa,['owner']
mimi,['owner']
cece,['owner']
iik,['owner']
jojo,['owner']
riri,['owner']
yayang,['owner']
mamang,['owner']
mumun,['owner']
ninin,['owner']
pepen,['owner']
rere,['owner']
ririk,['owner']
gigih,['owner']
uum,['owner']
ananda,['owner']
deden,['owner']
miming,['owner']
umu,['owner']
memet,['owner']
cecep,['owner']
dede,['owner']
fafa,['owner']
nonong,['owner']
pipik,['owner']
ririt,['owner']
ulul,['owner']
yuyut,['owner']
dodo,['owner']
dodot,['owner']
fafan,['owner']
jeje,['owner']
momon,['owner']
yeye,['owner']
yoyo,['owner']
kaka,['owner']
lulu,['owner']
mamah,['owner']
jojon,['owner']
jujun,['owner']
momo,['owner']
nunun,['owner']
veve,['owner']
wiwi,['owner']
yayat,['owner']
jajang,['owner']
kikik,['owner']
kokom,['owner']
lulut,['owner']
ninit,['owner']
teteh,['owner']
titim,['owner']
toton,['owner']
